Signal,Ticker,Probability,Close,Start,End
buy,044450,0.527,8830.0,20230223,20230228
sell,058850,0.526,5460.0,20230224,20230228
buy,034730,0.541,178600.0,20230222,20230228
sell,001570,0.733,38500.0,20230221,20230228
buy,013700,0.522,1705.0,20230222,20230228
sell,016710,0.751,127100.0,20230221,20230228
buy,001440,0.509,1458.0,20230223,20230228
buy,102460,0.596,19000.0,20230220,20230228
buy,010640,0.65,4335.0,20230223,20230228
buy,051630,0.646,3285.0,20230220,20230228
buy,000650,0.748,58200.0,20230223,20230228
buy,069640,0.617,2685.0,20230215,20230228
