Signal,Ticker,Probability,Close,Start,End
sell,095570,0.711,6220,20230131,20230207
buy,000210,0.658,57900,20230201,20230207
buy,267250,0.635,59800,20230130,20230207
buy,003550,0.615,82500,20230131,20230207
buy,006260,0.734,66200,20230131,20230207
buy,010120,0.751,50100,20230131,20230207
buy,108670,0.658,36450,20230202,20230207
sell,034310,0.656,14400,20230202,20230207
buy,005490,0.709,298000,20230127,20230207
sell,096770,0.642,165100,20230131,20230207
buy,077970,0.611,13770,20230131,20230207
buy,000500,0.618,17780,20230131,20230207
buy,035250,0.68,22650,20230131,20230207
buy,013700,0.616,1882,20230202,20230207
sell,003920,0.792,549000,20230201,20230207
buy,015230,0.778,6890,20230131,20230207
buy,006650,0.633,161700,20230126,20230207
buy,000150,0.61,88900,20230131,20230207
sell,090370,0.661,4020,20230118,20230126
buy,007160,0.67,50700,20220506,20220512
buy,006405,0.677,296000,20220506,20220512
buy,207940,0.714,785000,20220503,20220512
buy,006110,0.654,23700,20220506,20220512
buy,145990,0.673,51700,20220506,20220512
