Signal,Ticker,Probability,Close,Start,End
buy,000995,0.623,95000.0,20230217,20230224
buy,007070,0.713,29750.0,20230220,20230224
buy,003560,0.692,330.0,20230217,20230224
buy,001060,0.63,20700.0,20230220,20230224
buy,096760,0.647,3100.0,20230220,20230224
buy,034220,0.601,15240.0,20230221,20230224
sell,108320,0.613,94500.0,20230217,20230224
buy,001380,0.645,1421.0,20230221,20230224
buy,03473K,0.609,163700.0,20230214,20230224
buy,004270,0.763,2520.0,20230217,20230224
buy,145210,0.624,3300.0,20230216,20230224
buy,353200,0.617,20700.0,20230221,20230224
sell,006650,0.757,179900.0,20230220,20230224
buy,145720,0.681,117200.0,20230220,20230224
buy,023450,0.627,49000.0,20230222,20230224
buy,014820,0.65,38550.0,20230221,20230224
sell,011170,0.704,182900.0,20230220,20230224
buy,085620,0.65,2990.0,20230120,20230127
buy,002760,0.715,1693.0,20230220,20230224
buy,005030,0.609,543.0,20230220,20230224
buy,001470,0.676,2265.0,20220511,20220513
buy,207940,0.715,785000.0,20220503,20220513
buy,002450,0.644,1650.0,20220506,20220513
buy,004440,0.777,9410.0,20220506,20220513
buy,010960,0.607,4770.0,20220509,20220513
buy,001290,0.635,1120.0,20220506,20220513
buy,021050,0.658,1840.0,20220509,20220513
buy,008490,0.631,36700.0,20220506,20220513
buy,067830,0.691,3700.0,20190719,20190724
sell,308170,0.634,16190.0,20230215,20230224
sell,293940,0.738,7455.0,20210325,20210330
sell,003410,0.71,7510.0,20210325,20210330
sell,112610,0.685,82799.0,20201216,20201221
buy,033270,0.637,22500.0,20230220,20230224
buy,000100,0.634,53500.0,20230209,20230224
buy,214320,0.619,42600.0,20230216,20230223
sell,003200,0.628,134400.0,20230217,20230223
buy,044380,0.64,826.0,20230215,20230223
buy,011500,0.633,10410.0,20230221,20230224
buy,372910,0.641,5820.0,20230209,20230224
buy,143210,0.629,3135.0,20230215,20230224
sell,004560,0.733,11460.0,20230216,20230224
buy,004310,0.606,4910.0,20230221,20230224
sell,004020,0.74,36450.0,20230220,20230224
buy,005010,0.634,6520.0,20230222,20230224
