Ticker,FullCode,Symbol,Signal,Probability,Start,End
005945,KR7005941000,NH투자증권우,hold,0.0,,
338100,KR7338100001,NH프라임리츠,hold,0.0,,
034310,KR7034310003,NICE,buy,0.797,2022-11-16,2022-11-28
008260,KR7008260002,NI스틸,hold,0.0,,
004250,KR7004250007,NPC,hold,0.0,,
004255,KR7004251005,NPC우,hold,0.0,,
010060,KR7010060002,OCI,buy,0.918,2022-11-23,2022-11-28
178920,KR7178920005,PI첨단소재,hold,0.0,,
005490,KR7005490008,POSCO홀딩스,hold,0.0,,
010950,KR7010950004,S-Oil,buy,0.865,2022-11-09,2022-11-28
010955,KR7010951002,S-Oil우,buy,0.926,2022-11-18,2022-11-28
034120,KR7034120006,SBS,hold,0.0,,
005090,KR7005090006,SGC에너지,buy,0.835,2022-11-18,2022-11-28
001380,KR7001380005,SG글로벌,buy,0.784,2022-11-24,2022-11-28
004060,KR7004060000,SG세계물산,hold,0.0,,
001770,KR7001770007,SHD,hold,0.0,,
002360,KR7002360006,SH에너지화학,hold,0.0,,
009160,KR7009160003,SIMPAC,buy,0.895,2022-11-17,2022-11-28
123700,KR7123700007,SJM,hold,0.0,,
025530,KR7025530007,SJM홀딩스,hold,0.0,,
034730,KR7034730002,SK,hold,0.0,,
011790,KR7011790003,SKC,hold,0.0,,
018670,KR7018670000,SK가스,hold,0.0,,
001740,KR7001740000,SK네트웍스,hold,0.0,,
001745,KR7001741008,SK네트웍스우,hold,0.0,,
006120,KR7006120000,SK디스커버리,hold,0.0,,
006125,KR7006121008,SK디스커버리우,buy,0.886,2022-11-17,2022-11-28
210980,KR7210980009,SK디앤디,hold,0.0,,
068400,KR7068400001,SK렌터카,hold,0.0,,
395400,KR7395400005,SK리츠,buy,0.772,2022-11-14,2022-11-28
302440,KR7302440003,SK바이오사이언스,hold,0.0,,
326030,KR7326030004,SK바이오팜,hold,0.0,,
402340,KR7402340004,SK스퀘어,buy,0.879,2022-11-17,2022-11-28
361610,KR7361610009,SK아이이테크놀로지,sell,0.814,2022-11-23,2022-11-28
03473K,KR703473K016,SK우,hold,0.0,,
096770,KR7096770003,SK이노베이션,hold,0.0,,
096775,KR7096771001,SK이노베이션우,hold,0.0,,
001510,KR7001510007,SK증권,hold,0.0,,
001515,KR7001511005,SK증권우,hold,0.0,,
285130,KR7285130001,SK케미칼,hold,0.0,,
28513K,KR728513K010,SK케미칼우,buy,0.649,2022-11-18,2022-11-28
017670,KR7017670001,SK텔레콤,hold,0.0,,
000660,KR7000660001,SK하이닉스,buy,0.762,2022-11-18,2022-11-28
064960,KR7064960008,SNT모티브,hold,0.0,,
100840,KR7100840008,SNT에너지,sell,0.773,2022-11-22,2022-11-28
003570,KR7003570009,SNT중공업,hold,0.0,,
036530,KR7036530004,SNT홀딩스,hold,0.0,,
005610,KR7005610001,SPC삼립,buy,0.829,2022-11-21,2022-11-28
011810,KR7011810009,STX,hold,0.0,,
077970,KR7077970002,STX엔진,buy,0.744,2022-11-16,2022-11-28
071970,KR7071970008,STX중공업,hold,0.0,,
002820,KR7002820009,SUN&L,hold,0.0,,
084870,KR7084870005,TBH글로벌,hold,0.0,,
002710,KR7002710002,TCC스틸,hold,0.0,,
069260,KR7069260008,TKG휴켐스,hold,0.0,,
002900,KR7002900009,TYM,hold,0.0,,
024070,KR7024070005,WISCOM,hold,0.0,,
037270,KR7037270006,YG PLUS,hold,0.0,,
000500,KR7000500009,가온전선,hold,0.0,,
000860,KR7000860007,강남제비스코,hold,0.0,,
035250,KR7035250000,강원랜드,hold,0.0,,
011420,KR7011420007,갤럭시아에스엠,hold,0.0,,
002100,KR7002100006,경농,hold,0.0,,
009450,KR7009450008,경동나비엔,hold,0.0,,
267290,KR7267290005,경동도시가스,hold,0.0,,
012320,KR7012320008,경동인베스트,hold,0.0,,
000050,KR7000050005,경방,hold,0.0,,
214390,KR7214390007,경보제약,hold,0.0,,
012610,KR7012610002,경인양행,hold,0.0,,
009140,KR7009140005,경인전자,hold,0.0,,
013580,KR7013580006,계룡건설,hold,0.0,,
012200,KR7012200002,계양전기,sell,0.862,2022-11-22,2022-11-28
012205,KR7012201000,계양전기우,hold,0.0,,
002140,KR7002140002,고려산업,buy,0.876,2022-11-17,2022-11-28
010130,KR7010130003,고려아연,hold,0.0,,
002240,KR7002240000,고려제강,hold,0.0,,
009290,KR7009290008,광동제약,buy,0.881,2022-11-17,2022-11-28
017040,KR7017040007,광명전기,buy,0.652,2022-11-17,2022-11-28
017900,KR7017900002,광전자,hold,0.0,,
037710,KR7037710001,광주신세계,hold,0.0,,
030610,KR7030610000,교보증권,hold,0.0,,
339770,KR7339770000,교촌에프앤비,buy,0.815,2022-11-24,2022-11-28
007690,KR7007690001,국도화학,hold,0.0,,
005320,KR7005320007,국동,hold,0.0,,
001140,KR7001140003,국보,sell,0.785,2022-11-23,2022-11-28
002720,KR7002720001,국제약품,hold,0.0,,
083420,KR7083420000,그린케미칼,sell,0.819,2022-11-23,2022-11-28
014530,KR7014530000,극동유화,buy,0.872,2022-11-17,2022-11-28
014280,KR7014280002,금강공업,sell,0.736,2022-11-21,2022-11-28
014285,KR7014281000,금강공업우,hold,0.0,,
008870,KR7008870008,금비,hold,0.0,,
001570,KR7001570001,금양,hold,0.0,,
002990,KR7002990000,금호건설,hold,0.0,,
002995,KR7002991008,금호건설우,hold,0.0,,
011780,KR7011780004,금호석유,hold,0.0,,
011785,KR7011781002,금호석유우,hold,0.0,,
214330,KR7214330003,금호에이치티,hold,0.0,,
001210,KR7001210004,금호전기,hold,0.0,,
073240,KR7073240004,금호타이어,hold,0.0,,
092440,KR7092440007,기신정기,hold,0.0,,
000270,KR7000270009,기아,hold,0.0,,
024110,KR7024110009,기업은행,hold,0.0,,
013700,KR7013700000,까뮤이앤씨,hold,0.0,,
004540,KR7004540001,깨끗한나라,hold,0.0,,
004545,KR7004541009,깨끗한나라우,hold,0.0,,
001260,KR7001260009,남광토건,hold,0.0,,
008350,KR7008350001,남선알미늄,sell,0.848,2022-11-22,2022-11-28
008355,KR7008351009,남선알미우,sell,0.932,2022-11-18,2022-11-28
004270,KR7004270005,남성,buy,0.844,2022-11-16,2022-11-28
003920,KR7003920006,남양유업,hold,0.0,,
003925,KR7003921004,남양유업우,hold,0.0,,
025860,KR7025860008,남해화학,hold,0.0,,
005720,KR7005720008,넥센,hold,0.0,,
005725,KR7005721006,넥센우,hold,0.0,,
002350,KR7002350007,넥센타이어,hold,0.0,,
002355,KR7002351005,넥센타이어1우B,hold,0.0,,
251270,KR7251270005,넷마블,hold,0.0,,
090350,KR7090350000,노루페인트,hold,0.0,,
090355,KR7090351008,노루페인트우,buy,0.781,2022-11-17,2022-11-28
000320,KR7000320002,노루홀딩스,hold,0.0,,
000325,KR7000321000,노루홀딩스우,hold,0.0,,
006280,KR7006280002,녹십자,hold,0.0,,
005250,KR7005250006,녹십자홀딩스,buy,0.924,2022-11-18,2022-11-28
005257,KR7005252002,녹십자홀딩스2우,buy,0.844,2022-11-17,2022-11-28
004370,KR7004370003,농심,hold,0.0,,
072710,KR7072710007,농심홀딩스,hold,0.0,,
058730,KR7058730003,다스코,hold,0.0,,
030210,KR7030210009,다올투자증권,buy,0.623,2022-11-24,2022-11-28
023590,KR7023590003,다우기술,hold,0.0,,
145210,KR7145210001,다이나믹디자인,hold,0.0,,
019680,KR7019680008,대교,hold,0.0,,
019685,KR7019681006,대교우B,hold,0.0,,
006370,KR7006370001,대구백화점,hold,0.0,,
008060,KR7008060006,대덕,sell,0.865,2022-11-14,2022-11-28
00806K,KR700806K010,대덕1우,buy,0.938,2022-11-18,2022-11-28
353200,KR7353200009,대덕전자,buy,0.922,2022-11-18,2022-11-28
35320K,KR735320K011,대덕전자1우,buy,0.872,2022-11-18,2022-11-28
000490,KR7000490003,대동,hold,0.0,,
008110,KR7008110009,대동전자,buy,0.92,2022-11-15,2022-11-28
005750,KR7005750005,대림B&Co,sell,0.939,2022-11-23,2022-11-28
006570,KR7006570006,대림통상,hold,0.0,,
001680,KR7001680008,대상,hold,0.0,,
001685,KR7001681006,대상우,hold,0.0,,
084690,KR7084690007,대상홀딩스,hold,0.0,,
084695,KR7084691005,대상홀딩스우,hold,0.0,,
128820,KR7128820008,대성산업,hold,0.0,,
117580,KR7117580001,대성에너지,hold,0.0,,
016710,KR7016710006,대성홀딩스,sell,0.927,2022-11-18,2022-11-28
003540,KR7003540002,대신증권,hold,0.0,,
003547,KR7003542008,대신증권2우B,hold,0.0,,
003545,KR7003541000,대신증권우,hold,0.0,,
009190,KR7009190000,대양금속,hold,0.0,,
014160,KR7014160006,대영포장,sell,0.783,2022-11-23,2022-11-28
047040,KR7047040001,대우건설,hold,0.0,,
009320,KR7009320003,대우부품,hold,0.0,,
042660,KR7042660001,대우조선해양,buy,0.936,2022-11-18,2022-11-28
003090,KR7003090008,대웅,buy,0.939,2022-11-16,2022-11-28
069620,KR7069620003,대웅제약,hold,0.0,,
000430,KR7000430009,대원강업,hold,0.0,,
006340,KR7006340004,대원전선,hold,0.0,,
006345,KR7006341002,대원전선우,hold,0.0,,
003220,KR7003220001,대원제약,hold,0.0,,
024890,KR7024890006,대원화성,hold,0.0,,
002880,KR7002880003,대유에이텍,hold,0.0,,
000300,KR7000300004,대유플러스,hold,0.0,,
012800,KR7012800009,대창,hold,0.0,,
015230,KR7015230006,대창단조,hold,0.0,,
001070,KR7001070002,대한방직,hold,0.0,,
006650,KR7006650006,대한유화,hold,0.0,,
001440,KR7001440007,대한전선,hold,0.0,,
084010,KR7084010008,대한제강,hold,0.0,,
001790,KR7001790005,대한제당,hold,0.0,,
001795,KR7001791003,대한제당우,hold,0.0,,
001130,KR7001130004,대한제분,hold,0.0,,
003490,KR7003490000,대한항공,hold,0.0,,
003495,KR7003491008,대한항공우,hold,0.0,,
005880,KR7005880000,대한해운,hold,0.0,,
003830,KR7003830007,대한화섬,hold,0.0,,
016090,KR7016090003,대현,sell,0.778,2022-11-22,2022-11-28
069460,KR7069460004,대호에이엘,buy,0.728,2022-11-18,2022-11-28
192080,KR7192080000,더블유게임즈,hold,0.0,,
012510,KR7012510004,더존비즈온,hold,0.0,,
004830,KR7004830006,덕성,hold,0.0,,
004835,KR7004831004,덕성우,hold,0.0,,
024900,KR7024900003,덕양산업,hold,0.0,,
145720,KR7145720009,덴티움,hold,0.0,,
002150,KR7002150001,도화엔지니어링,hold,0.0,,
001230,KR7001230002,동국제강,hold,0.0,,
023450,KR7023450000,동남합성,hold,0.0,,
004140,KR7004140000,동방,sell,0.879,2022-11-21,2022-11-28
007590,KR7007590003,동방아그로,hold,0.0,,
005960,KR7005960000,동부건설,hold,0.0,,
005965,KR7005961008,동부건설우,hold,0.0,,
026960,KR7026960005,동서,hold,0.0,,
002210,KR7002210003,동성제약,hold,0.0,,
102260,KR7102260007,동성케미컬,buy,0.609,2022-11-16,2022-11-28
000640,KR7000640003,동아쏘시오홀딩스,sell,0.766,2022-11-22,2022-11-28
170900,KR7170900005,동아에스티,hold,0.0,,
028100,KR7028100006,동아지질,hold,0.0,,
