Ticker,FullCode,Symbol,Signal,Probability,Start,End
004060,KR7004060000,SG세계물산,hold,0,554,
001770,KR7001770007,SHD,hold,0,39350,
002360,KR7002360006,SH에너지화학,hold,0,955,
009160,KR7009160003,SIMPAC,hold,0,5820,
123700,KR7123700007,SJM,hold,0,4835,
025530,KR7025530007,SJM홀딩스,hold,0,4435,
034730,KR7034730002,SK,hold,0,211000,
011790,KR7011790003,SKC,hold,0,111000,
018670,KR7018670000,SK가스,hold,0,122500,
001740,KR7001740000,SK네트웍스,hold,0,4095,
001745,KR7001741008,SK네트웍스우,hold,0,49450,
006120,KR7006120000,SK디스커버리,hold,0,32600,
006125,KR7006121008,SK디스커버리우,hold,0,29300,
210980,KR7210980009,SK디앤디,hold,0,23000,
068400,KR7068400001,SK렌터카,hold,0,7100,
395400,KR7395400005,SK리츠,hold,0,4695,
302440,KR7302440003,SK바이오사이언스,hold,0,81800,
326030,KR7326030004,SK바이오팜,hold,0,72500,
402340,KR7402340004,SK스퀘어,hold,0,36900,
361610,KR7361610009,SK아이이테크놀로지,hold,0,64000,
03473K,KR703473K016,SK우,hold,0,180000,
096770,KR7096770003,SK이노베이션,hold,0,174000,
096775,KR7096771001,SK이노베이션우,hold,0,106000,
001510,KR7001510007,SK증권,hold,0,687,
001515,KR7001511005,SK증권우,hold,0,2800,
285130,KR7285130001,SK케미칼,hold,0,88500,
28513K,KR728513K010,SK케미칼우,hold,0,41150,
017670,KR7017670001,SK텔레콤,hold,0,50300,
000660,KR7000660001,SK하이닉스,hold,0,81900,
064960,KR7064960008,SNT모티브,hold,0,46450,
100840,KR7100840008,SNT에너지,hold,0,22850,
003570,KR7003570009,SNT중공업,hold,0,9710,
036530,KR7036530004,SNT홀딩스,hold,0,16650,
005610,KR7005610001,SPC삼립,hold,0,70500,
011810,KR7011810009,STX,hold,0,7960,
077970,KR7077970002,STX엔진,hold,0,13600,
071970,KR7071970008,STX중공업,hold,0,4750,
002820,KR7002820009,SUN&L,hold,0,3590,
084870,KR7084870005,TBH글로벌,hold,0,1990,
002710,KR7002710002,TCC스틸,hold,0,10550,
069260,KR7069260008,TKG휴켐스,hold,0,21550,
002900,KR7002900009,TYM,hold,0,2495,
024070,KR7024070005,WISCOM,hold,0,2830,
037270,KR7037270006,YG PLUS,hold,0,4355,
000500,KR7000500009,가온전선,hold,0,18650,
000860,KR7000860007,강남제비스코,hold,0,21650,
035250,KR7035250000,강원랜드,hold,0,24600,
011420,KR7011420007,갤럭시아에스엠,hold,0,2000,
002100,KR7002100006,경농,hold,0,10300,
009450,KR7009450008,경동나비엔,hold,0,36050,
267290,KR7267290005,경동도시가스,hold,0,28450,
012320,KR7012320008,경동인베스트,hold,0,122000,
000050,KR7000050005,경방,hold,0,11200,
214390,KR7214390007,경보제약,hold,0,6350,
012610,KR7012610002,경인양행,hold,0,4960,
009140,KR7009140005,경인전자,hold,0,25850,
013580,KR7013580006,계룡건설,hold,0,20300,
012200,KR7012200002,계양전기,hold,0,2940,
012205,KR7012201000,계양전기우,hold,0,5150,
002140,KR7002140002,고려산업,hold,0,4205,
010130,KR7010130003,고려아연,hold,0,611000,
002240,KR7002240000,고려제강,hold,0,23414,
009290,KR7009290008,광동제약,hold,0,6190,
017040,KR7017040007,광명전기,hold,0,2390,
017900,KR7017900002,광전자,hold,0,2395,
037710,KR7037710001,광주신세계,hold,0,32750,
030610,KR7030610000,교보증권,hold,0,5890,
339770,KR7339770000,교촌에프앤비,hold,0,10500,
007690,KR7007690001,국도화학,hold,0,45400,
005320,KR7005320007,국동,hold,0,1365,
001140,KR7001140003,국보,hold,0,916,
002720,KR7002720001,국제약품,hold,0,4365,
083420,KR7083420000,그린케미칼,hold,0,12650,
014530,KR7014530000,극동유화,hold,0,3800,
014280,KR7014280002,금강공업,hold,0,7100,
014285,KR7014281000,금강공업우,hold,0,13550,
008870,KR7008870008,금비,hold,0,63600,
001570,KR7001570001,금양,hold,0,31950,
002990,KR7002990000,금호건설,hold,0,8130,
002995,KR7002991008,금호건설우,hold,0,27200,
011780,KR7011780004,금호석유,hold,0,143500,
011785,KR7011781002,금호석유우,hold,0,93600,
214330,KR7214330003,금호에이치티,hold,0,1015,
001210,KR7001210004,금호전기,hold,0,1010,
073240,KR7073240004,금호타이어,hold,0,3010,
092440,KR7092440007,기신정기,hold,0,3530,
000270,KR7000270009,기아,hold,0,66500,
024110,KR7024110009,기업은행,hold,0,11200,
013700,KR7013700000,까뮤이앤씨,hold,0,1995,
004540,KR7004540001,깨끗한나라,hold,0,3090,
004545,KR7004541009,깨끗한나라우,hold,0,18800,
001260,KR7001260009,남광토건,hold,0,10350,
008350,KR7008350001,남선알미늄,hold,0,2540,
008355,KR7008351009,남선알미우,hold,0,29800,
004270,KR7004270005,남성,hold,0,2225,
003920,KR7003920006,남양유업,hold,0,438000,
003925,KR7003921004,남양유업우,hold,0,228000,
025860,KR7025860008,남해화학,hold,0,9130,
005720,KR7005720008,넥센,hold,0,4160,
005725,KR7005721006,넥센우,hold,0,3770,
002350,KR7002350007,넥센타이어,hold,0,6990,
002355,KR7002351005,넥센타이어1우B,hold,0,2960,
251270,KR7251270005,넷마블,hold,0,54300,
090350,KR7090350000,노루페인트,hold,0,8460,
090355,KR7090351008,노루페인트우,hold,0,16200,
000320,KR7000320002,노루홀딩스,hold,0,10600,
000325,KR7000321000,노루홀딩스우,hold,0,24050,
006280,KR7006280002,녹십자,hold,0,128000,
005250,KR7005250006,녹십자홀딩스,hold,0,17150,
005257,KR7005252002,녹십자홀딩스2우,hold,0,40100,
004370,KR7004370003,농심,hold,0,326500,
072710,KR7072710007,농심홀딩스,hold,0,65100,
058730,KR7058730003,다스코,hold,0,5860,
030210,KR7030210009,다올투자증권,hold,0,3375,
023590,KR7023590003,다우기술,hold,0,20950,
145210,KR7145210001,다이나믹디자인,hold,0,6880,
019680,KR7019680008,대교,hold,0,2685,
019685,KR7019681006,대교우B,hold,0,1915,
006370,KR7006370001,대구백화점,hold,0,9820,
008060,KR7008060006,대덕,hold,0,6580,
00806K,KR700806K010,대덕1우,hold,0,8220,
353200,KR7353200009,대덕전자,hold,0,23050,
35320K,KR735320K011,대덕전자1우,hold,0,10750,
000490,KR7000490003,대동,hold,0,12250,
008110,KR7008110009,대동전자,hold,0,11250,
005750,KR7005750005,대림B&Co,hold,0,4285,
006570,KR7006570006,대림통상,hold,0,3970,
001680,KR7001680008,대상,hold,0,21200,
001685,KR7001681006,대상우,hold,0,16150,
084690,KR7084690007,대상홀딩스,hold,0,7650,
084695,KR7084691005,대상홀딩스우,hold,0,9220,
128820,KR7128820008,대성산업,hold,0,4330,
117580,KR7117580001,대성에너지,hold,0,11400,
016710,KR7016710006,대성홀딩스,hold,0,115000,
003540,KR7003540002,대신증권,hold,0,14700,
003547,KR7003542008,대신증권2우B,hold,0,13200,
003545,KR7003541000,대신증권우,hold,0,13750,
009190,KR7009190000,대양금속,hold,0,3560,
014160,KR7014160006,대영포장,hold,0,1765,
047040,KR7047040001,대우건설,hold,0,4900,
009320,KR7009320003,대우부품,hold,0,1665,
042660,KR7042660001,대우조선해양,hold,0,18550,
003090,KR7003090008,대웅,hold,0,20800,
069620,KR7069620003,대웅제약,hold,0,148000,
000430,KR7000430009,대원강업,hold,0,3485,
006340,KR7006340004,대원전선,hold,0,1265,
006345,KR7006341002,대원전선우,hold,0,2500,
003220,KR7003220001,대원제약,hold,0,17850,
024890,KR7024890006,대원화성,hold,0,2650,
002880,KR7002880003,대유에이텍,hold,0,719,
000300,KR7000300004,대유플러스,hold,0,888,
012800,KR7012800009,대창,hold,0,1325,
015230,KR7015230006,대창단조,hold,0,8820,
001070,KR7001070002,대한방직,hold,0,51000,
006650,KR7006650006,대한유화,hold,0,156500,
001440,KR7001440007,대한전선,hold,0,1660,
084010,KR7084010008,대한제강,hold,0,12900,
001790,KR7001790005,대한제당,hold,0,2745,
001795,KR7001791003,대한제당우,hold,0,2470,
001130,KR7001130004,대한제분,hold,0,137000,
003490,KR7003490000,대한항공,hold,0,25000,
003495,KR7003491008,대한항공우,hold,0,29750,
005880,KR7005880000,대한해운,hold,0,2170,
003830,KR7003830007,대한화섬,hold,0,118000,
016090,KR7016090003,대현,hold,0,2425,
069460,KR7069460004,대호에이엘,hold,0,1610,
192080,KR7192080000,더블유게임즈,hold,0,49700,
012510,KR7012510004,더존비즈온,hold,0,36200,
004830,KR7004830006,덕성,hold,0,5330,
004835,KR7004831004,덕성우,hold,0,6260,
024900,KR7024900003,덕양산업,hold,0,2775,
145720,KR7145720009,덴티움,hold,0,88900,
002150,KR7002150001,도화엔지니어링,hold,0,9630,
001230,KR7001230002,동국제강,hold,0,13500,
023450,KR7023450000,동남합성,hold,0,53000,
004140,KR7004140000,동방,hold,0,2800,
007590,KR7007590003,동방아그로,hold,0,6480,
005960,KR7005960000,동부건설,hold,0,9500,
005965,KR7005961008,동부건설우,hold,0,50100,
026960,KR7026960005,동서,hold,0,21450,
002210,KR7002210003,동성제약,hold,0,6690,
102260,KR7102260007,동성케미컬,hold,0,4620,
000640,KR7000640003,동아쏘시오홀딩스,hold,0,100500,
170900,KR7170900005,동아에스티,hold,0,59649,
028100,KR7028100006,동아지질,hold,0,14800,
282690,KR7282690007,동아타이어,hold,0,12450,
001520,KR7001520006,동양,hold,0,1090,
001527,KR7001522002,동양2우B,hold,0,13700,
084670,KR7084670009,동양고속,hold,0,14600,
082640,KR7082640004,동양생명,hold,0,5630,
001525,KR7001521004,동양우,hold,0,6760,
008970,KR7008970006,동양철관,hold,0,1065,
092780,KR7092780006,동양피스톤,hold,0,5120,
049770,KR7049770001,동원F&B,hold,0,142500,
018500,KR7018500009,동원금속,hold,0,1095,
006040,KR7006040000,동원산업,hold,0,47050,
030720,KR7030720007,동원수산,hold,0,9860,
014820,KR7014820005,동원시스템즈,hold,0,48800,
014825,KR7014821003,동원시스템즈우,hold,0,30050,
163560,KR7163560006,동일고무벨트,hold,0,7290,
004890,KR7004890000,동일산업,hold,0,189000,
002690,KR7002690006,동일제강,hold,0,2485,
000020,KR7000020008,동화약품,hold,0,9280,
000150,KR7000150003,두산,hold,0,86700,
000157,KR7000152009,두산2우B,hold,0,91700,
241560,KR7241560002,두산밥캣,hold,0,35450,
034020,KR7034020008,두산에너빌리티,hold,0,16150,
000155,KR7000151001,두산우,hold,0,52100,
336260,KR7336260005,두산퓨얼셀,hold,0,33600,
33626K,KR733626K013,두산퓨얼셀1우,hold,0,10300,
33626L,KR733626K021,두산퓨얼셀2우B,hold,0,12900,
016740,KR7016740003,두올,hold,0,2680,
192650,KR7192650000,드림텍,hold,0,10650,
024090,KR7024090003,디씨엠,hold,0,14350,
003160,KR7003160009,디아이,hold,0,5080,
092200,KR7092200005,디아이씨,hold,0,4090,
377190,KR7377190004,디앤디플랫폼리츠,hold,0,3470,
013570,KR7013570007,디와이,hold,0,6230,
210540,KR7210540001,디와이파워,hold,0,12750,
115390,KR7115390007,락앤락,hold,0,6560,
032350,KR7032350001,롯데관광개발,hold,0,12450,
089860,KR7089860001,롯데렌탈,hold,0,28800,
330590,KR7330590001,롯데리츠,hold,0,3925,
000400,KR7000400002,롯데손해보험,hold,0,1545,
023530,KR7023530009,롯데쇼핑,hold,0,83900,
004000,KR7004000006,롯데정밀화학,hold,0,60200,
286940,KR7286940002,롯데정보통신,hold,0,23350,
280360,KR7280360009,롯데제과,hold,0,125000,
004990,KR7004990008,롯데지주,hold,0,32000,
00499K,KR700499K014,롯데지주우,hold,0,44500,
005300,KR7005300009,롯데칠성,hold,0,154000,
005305,KR7005301007,롯데칠성우,hold,0,72400,
011170,KR7011170008,롯데케미칼,hold,0,171927,
071840,KR7071840003,롯데하이마트,hold,0,14100,
027740,KR7027740000,마니커,hold,0,1255,
001080,KR7001080001,만호제강,hold,0,38400,
088980,KR7088980008,맥쿼리인프라,hold,0,11250,
094800,KR7094800000,맵스리얼티1,hold,0,4205,
138040,KR7138040001,메리츠금융지주,hold,0,40300,
008560,KR7008560005,메리츠증권,hold,0,6060,
000060,KR7000060004,메리츠화재,hold,0,47300,
090370,KR7090370008,메타랩스,hold,0,2965,
017180,KR7017180001,명문제약,hold,0,2695,
009900,KR7009900002,명신산업,hold,0,17800,
012690,KR7012690004,모나리자,hold,0,3070,
005360,KR7005360003,모나미,hold,0,3385,
